Humidity,Wet Bulb Temperature,Wind Speed,Solar Radiation
66,10.1,1.3,2
79,8.5,2.4,0
75,8.5,3.2,0
56,9.8,1.1,2
59,10.3,1.2,2
77,8.5,3.0,0
63,10.8,1.2,2
75,8.5,0.4,0
74,11.4,1.3,2
76,8.5,0.6,0
84,8.5,0.8,0
75,12.2,0.7,2
86,8.5,1.2,0
75,12.6,0.6,2
70,12.2,1.1,6
85,8.5,0.5,1
70,12.4,1.6,108
83,8.5,0.6,57
82,8.5,0.5,217
78,8.5,2.3,406
73,12.7,1.7,398
78,8.5,1.9,540
68,13.6,1.4,633
82,12.3,2.5,762
74,8.5,1.0,674
78,8.5,2.4,770
68,13.4,2.1,855
76,8.5,2.6,846
75,13.1,1.8,906
77,8.5,3.1,863
71,13.7,1.5,908
73,8.5,2.1,825
66,14.0,1.9,834
69,8.5,0.5,728
68,14.0,1.6,597
70,8.5,3.7,632
62,14.3,2.8,104
69,8.5,2.6,438
73,8.5,0.5,116
75,8.5,1.0,136
67,13.8,1.6,60
69,13.6,1.5,24
75,8.5,1.3,26
76,8.5,3.3,0
67,13.9,2.3,1
75,8.5,2.5,0
76,8.5,1.2,0
66,14.3,0.8,1
79,8.5,0.8,0
63,15.5,1.2,0
72,8.5,1.7,0
64,15.2,0.6,0
67,15.1,0.5,0
65,8.5,3.3,0
67,8.5,2.1,0
65,14.9,0.8,1
70,8.5,1.7,0
68,14.7,0.9,1
71,8.5,2.9,0
71,14.8,0.9,2
73,8.5,2.3,54
70,15.5,1.1,121
71,8.5,5.5,89
68,16.3,0.6,248
69,8.5,1.4,154
65,8.5,3.4,237
62,18.1,1.0,691
61,8.5,3.4,639
62,8.5,3.6,304
61,18.5,0.9,415
62,8.5,3.3,519
60,8.5,4.5,812
56,8.5,4.6,468
57,19.3,0.8,309
55,8.5,4.5,224
57,19.4,1.5,368
63,8.5,2.4,449
54,19.7,0.7,454
75,8.5,1.9,256
65,18.2,1.1,212
73,8.5,2.8,165
72,8.5,1.7,125
58,19.0,0.7,52
59,19.2,1.0,17
70,8.5,3.4,20
64,8.5,1.0,1
60,19.2,0.4,0
57,19.4,0.7,-2
65,8.5,0.9,0
59,19.8,1.0,0
61,8.5,1.9,0
63,19.7,2.1,0
66,8.5,4.0,0
71,16.5,2.2,0
77,8.5,3.8,0
77,15.4,0.5,1
80,8.5,4.4,0
82,14.9,1.5,1
84,8.5,2.8,0
86,8.5,5.8,0
86,14.7,0.5,1
96,13.0,2.0,2
91,8.5,2.2,0
97,12.2,1.9,23
92,8.5,2.1,26
97,11.4,2.5,42
92,8.5,2.6,57
92,8.5,3.4,102
92,8.5,2.6,139
98,11.7,3.7,122
91,8.5,4.1,237
97,11.6,3.0,153
90,8.5,3.4,349
90,8.5,4.4,315
94,11.6,4.9,199
96,10.9,4.9,117
91,8.5,3.9,205
87,8.5,3.0,216
91,10.8,6.2,149
90,8.5,5.9,98
96,10.3,4.8,92
89,10.9,3.1,55
86,8.5,4.7,146
86,8.5,4.1,19
89,11.1,1.4,14
87,10.7,2.0,3
84,8.5,4.9,0
83,8.5,4.6,0
88,10.3,3.6,3
84,8.5,5.3,0
87,9.5,2.2,4
87,8.5,3.8,0
90,9.5,1.2,3
87,8.5,3.3,0
87,8.5,3.8,0
90,10.0,2.1,3
91,9.8,2.6,3
88,8.5,2.1,0
89,10.1,1.9,13
86,8.5,1.4,17
86,8.5,3.3,72
90,10.2,2.9,147
86,8.5,1.1,199
87,10.6,1.5,440
84,8.5,2.6,524
87,11.2,2.6,607
84,8.5,2.1,674
87,11.6,2.5,752
86,11.6,2.5,843
84,8.5,2.1,778
86,11.6,3.5,896
84,8.5,3.0,818
86,11.5,3.1,904
83,8.5,2.0,856
82,11.1,2.8,831
81,8.5,3.6,803
79,8.5,3.1,757
80,11.2,2.2,725
80,8.5,2.4,556
81,10.8,1.8,647
80,8.5,2.4,480
82,10.7,1.3,51
82,10.5,1.3,50
80,8.5,1.9,298
82,10.4,0.6,44
80,8.5,1.3,148
80,8.5,1.7,20
81,9.9,1.8,17
78,10.2,0.7,2
78,8.5,1.0,0
80,10.9,1.7,2
78,8.5,0.8,0
84,10.9,1.3,2
80,8.5,0.8,0
83,11.0,0.8,2
82,8.5,0.3,0
85,8.5,1.6,0
80,12.1,0.6,2
84,8.5,2.3,0
78,14.3,1.1,2
84,8.5,1.9,0
75,15.5,1.3,1
75,8.5,4.2,1
73,16.3,1.3,2
75,8.5,2.9,26
71,16.6,1.9,19
71,16.9,1.4,81
73,8.5,3.0,84
70,8.5,4.2,61
70,17.7,1.2,75
89,17.8,1.8,20
88,8.5,6.2,24
89,18.8,1.9,145
88,8.5,6.0,165
86,19.6,2.8,205
83,8.5,6.8,333
81,8.5,2.7,395
82,19.5,1.2,286
78,8.5,1.6,426
78,19.7,1.4,685
74,20.7,2.3,389
73,8.5,3.6,259
71,22.5,1.8,396
71,8.5,6.8,334
65,8.5,4.9,496
66,22.7,0.9,667
67,8.5,2.0,126
71,22.7,1.1,85
76,8.5,4.1,45
76,21.6,0.8,41
81,21.0,2.0,79
77,8.5,2.3,107
85,20.7,0.7,13
90,8.5,1.2,11
81,8.5,3.4,1
81,20.9,0.7,0
79,20.6,3.0,0
77,8.5,3.8,1
83,20.7,2.6,0
81,8.5,1.3,0
83,8.5,1.7,0
86,20.6,2.8,0
83,8.5,4.8,0
84,20.3,1.6,0
83,19.6,1.5,0
82,8.5,2.1,0
83,19.5,1.8,0
81,8.5,3.6,1
84,19.2,2.0,0
82,8.5,1.9,0
84,8.5,0.8,0
85,19.1,2.1,0
85,19.2,2.8,44
84,8.5,2.2,46
83,19.3,2.0,150
83,8.5,1.3,118
78,19.5,1.3,269
78,8.5,4.8,259
73,19.8,1.1,358
70,8.5,3.5,401
64,20.1,2.4,746
61,8.5,1.5,656
53,19.8,1.4,820
53,8.5,2.0,777
47,8.5,1.5,832
49,20.0,2.6,888
44,8.5,3.8,315
42,19.4,2.7,761
43,19.6,1.8,116
40,8.5,2.7,887
39,8.5,2.5,890
37,18.9,1.8,940
60,8.5,5.2,33
53,15.0,4.8,121
78,8.5,3.7,7
74,17.4,2.2,10
77,8.5,0.4,121
77,8.5,1.0,47
73,18.3,1.4,8
77,8.5,3.0,6
72,14.5,1.4,1
73,8.5,3.7,0
75,8.5,1.7,0
71,15.1,0.7,1
74,8.5,1.0,0
69,15.5,2.5,1
67,15.8,2.8,0
72,8.5,2.5,0
65,15.6,2.4,0
71,8.5,2.6,0
63,15.5,3.2,0
68,8.5,1.6,0
70,8.5,2.7,0
67,15.4,2.5,2
71,8.5,2.1,0
66,15.0,2.1,0
72,8.5,2.8,1
67,14.7,2.2,1
66,14.7,2.2,24
69,8.5,1.4,22
66,15.0,2.3,77
65,15.6,2.5,183
68,8.5,2.4,178
64,16.5,1.8,322
65,8.5,2.2,310
61,17.4,1.6,421
59,8.5,1.9,415
49,8.5,1.9,590
50,17.5,1.2,668
40,8.5,3.8,723
40,17.5,1.5,734
37,8.5,3.1,536
38,17.7,1.4,459
51,8.5,0.6,705
47,8.5,1.6,687
46,17.5,1.1,682
55,8.5,2.6,602
41,18.3,1.0,578
36,18.6,1.2,77
35,8.5,2.3,449
37,8.5,3.6,315
42,8.5,4.1,20
45,8.5,3.8,1
46,19.9,0.9,-2
48,19.9,1.8,-2
47,8.5,5.1,0
50,8.5,5.2,1
51,19.9,1.4,-2
53,19.9,2.2,-2
51,8.5,3.5,2
55,19.6,1.7,-2
55,8.5,3.3,1
58,19.8,3.2,-2
58,8.5,6.3,1
58,19.7,2.9,0
58,8.5,1.6,0
55,8.5,2.2,1
59,19.6,3.8,0
56,8.5,3.2,2
61,19.6,2.2,0
56,8.5,5.1,59
59,19.5,1.4,90
59,8.5,2.5,195
61,20.0,3.4,241
56,20.5,1.9,412
56,8.5,1.7,351
52,8.5,1.0,516
53,21.2,2.9,586
51,8.5,5.6,566
51,21.7,2.7,320
47,21.9,1.1,824
46,8.5,5.6,739
46,8.5,6.3,714
42,8.5,2.8,880
43,22.7,1.2,912
41,8.5,2.1,809
40,22.3,1.4,810
73,8.5,1.3,465
67,18.1,1.0,791
71,8.5,1.3,193
66,16.6,0.6,25
69,8.5,0.8,212
75,8.5,1.5,226
70,15.8,1.4,136
75,8.5,1.0,60
76,8.5,0.3,21
69,15.7,0.6,22
69,8.5,0.8,0
62,17.2,0.3,0
80,8.5,0.1,1
74,16.1,0.0,1
81,8.5,0.2,1
82,15.8,1.4,1
70,15.8,1.7,0
80,8.5,1.4,0
84,15.5,0.5,1
82,8.5,2.1,0
51,15.6,0.9,0
81,8.5,1.1,0
49,16.5,1.2,0
58,8.5,0.6,0
77,14.9,0.8,1
82,8.5,3.9,0
79,13.6,0.0,2
83,8.5,0.7,1
78,13.7,0.6,57
81,8.5,1.2,52
81,13.5,1.1,73
83,8.5,2.8,93
83,13.5,2.8,457
79,8.5,1.3,409
87,14.0,3.6,346
83,8.5,2.5,265
86,13.5,2.4,903
82,8.5,3.7,616
82,8.5,2.3,632
85,13.6,1.3,529
80,8.5,2.6,163
83,14.3,1.9,110
81,8.5,6.4,250
85,14.3,4.3,379
87,12.9,3.9,246
84,8.5,3.2,464
82,13.5,1.7,154
82,8.5,4.6,196
83,8.5,2.5,70
80,14.3,0.0,57
84,8.5,0.8,33
88,15.9,1.8,7
85,8.5,1.1,6
89,15.1,1.2,1
87,8.5,0.6,1
88,8.5,1.8,0
91,14.5,1.0,1
89,15.9,1.0,2
89,8.5,2.7,0
94,13.6,2.8,2
90,8.5,2.4,0
95,14.4,0.9,2
92,8.5,1.1,0
95,14.2,1.5,2
92,8.5,1.9,0
95,14.5,1.4,2
92,8.5,2.3,0
90,8.5,3.8,0
92,16.0,2.0,1
91,8.5,1.3,0
94,14.8,0.4,2
92,8.5,1.1,10
97,17.3,1.2,9
91,8.5,0.8,47
92,19.4,1.2,26
93,19.1,1.3,47
90,8.5,1.6,67
90,8.5,2.0,55
93,15.5,0.0,75
91,8.5,2.3,90
91,8.5,3.8,71
95,12.8,2.7,30
95,13.4,2.0,73
91,8.5,2.8,62
91,8.5,2.6,129
96,12.9,2.7,101
91,8.5,2.8,142
96,12.0,4.4,57
91,8.5,3.1,37
97,11.9,3.6,53
91,8.5,4.6,32
96,11.8,2.6,24
97,11.5,2.9,20
92,8.5,2.5,60
92,8.5,2.7,40
98,12.2,2.3,6
92,8.5,3.9,5
92,8.5,4.2,0
98,11.9,3.0,2
97,11.9,0.7,2
91,8.5,3.1,0
91,8.5,2.2,0
97,12.1,1.8,2
97,12.3,1.8,2
91,8.5,2.8,0
97,12.5,1.4,2
92,8.5,2.8,0
97,12.7,1.9,2
92,8.5,4.9,0
92,8.5,4.6,0
97,12.3,2.3,2
96,12.1,1.3,3
92,8.5,3.7,0
97,12.6,0.7,3
93,8.5,1.9,0
93,8.5,1.3,8
97,13.1,0.7,9
93,8.5,0.8,85
98,13.8,0.9,80
96,14.6,1.1,119
92,8.5,1.7,137
88,16.3,1.2,388
89,8.5,1.9,357
85,8.5,2.4,587
86,15.9,0.7,396
83,8.5,2.2,721
79,17.0,0.8,735
82,8.5,2.4,855
70,21.0,0.9,892
79,8.5,2.2,418
67,22.0,1.8,932
81,8.5,0.6,302
84,8.5,2.9,662
84,17.6,1.2,840
91,15.8,3.1,314
89,8.5,3.1,680
91,8.5,3.0,281
92,8.5,1.7,93
93,14.4,1.0,5
92,8.5,1.1,5
93,8.5,2.4,0
86,18.6,2.1,2
79,8.5,2.6,0
80,20.4,1.4,0
84,8.5,1.4,0
85,19.5,0.0,0
90,19.4,0.5,0
86,8.5,0.7,1
93,18.9,0.0,0
93,20.6,1.0,0
95,20.6,0.0,0
98,19.9,0.0,0
92,20.2,1.1,0
89,21.0,2.1,3
94,20.8,0.4,4
92,20.8,0.5,63
95,21.3,0.9,28
97,20.6,0.4,310
81,8.5,2.7,197
87,21.9,0.7,57
73,8.5,3.0,587
80,22.3,1.0,626
66,8.5,1.9,463
71,22.6,2.5,706
59,22.4,1.1,170
55,8.5,3.0,629
56,8.5,0.7,212
55,22.2,1.4,184
53,22.2,1.3,133
58,8.5,1.8,94
77,8.5,0.8,48
73,19.8,0.7,65
75,20.6,1.5,72
85,8.5,1.5,93
82,8.5,2.4,15
86,19.0,1.3,17
80,8.5,1.2,0
82,19.2,0.0,0
79,21.7,0.4,0
86,8.5,0.3,0
79,22.4,0.5,-2
93,8.5,0.8,1
82,22.8,2.1,0
81,8.5,1.3,0
83,22.2,1.0,0
83,8.5,2.0,1
84,22.1,1.0,0
85,8.5,0.8,0
84,21.8,1.2,0
85,8.5,2.4,1
86,21.8,1.2,0
85,8.5,2.3,0
87,21.6,1.4,0
87,8.5,1.7,2
87,21.9,1.1,35
88,8.5,1.5,35
88,22.2,1.3,60
86,8.5,0.7,49
84,8.5,1.8,256
84,22.6,1.2,185
84,22.5,0.6,6
85,8.5,1.1,27
92,21.1,0.6,184
88,8.5,1.1,469
94,20.0,1.2,168
89,8.5,1.7,490
89,8.5,1.9,84
96,21.0,0.4,98
85,8.5,2.2,34
92,22.2,0.5,32
87,23.1,0.7,528
70,22.5,0.8,486
65,8.5,2.3,838
66,8.5,2.7,327
75,22.9,1.2,206
92,8.5,6.2,9
88,21.6,1.6,6
93,20.3,0.6,7
95,20.5,0.6,2
91,8.5,1.0,1
94,21.1,1.3,1
89,8.5,1.2,0
92,21.3,1.0,0
92,21.4,0.7,0
92,8.5,1.1,0
93,21.7,2.1,0
91,8.5,1.2,0
93,21.6,1.1,0
90,8.5,2.4,0
97,16.7,5.2,1
92,8.5,4.9,0
92,8.5,2.9,0
95,15.8,1.4,1
92,8.5,1.3,0
95,15.7,0.5,2
92,8.5,3.5,0
95,16.4,0.9,1
91,8.5,2.9,0
96,17.0,2.1,2
85,17.3,2.7,91
79,8.5,3.4,74
78,15.4,3.0,265
76,8.5,3.3,214
76,8.5,3.3,406
77,14.3,4.3,473
77,13.7,4.3,584
75,8.5,4.6,520
78,13.6,4.6,782
75,8.5,3.5,684
75,13.4,3.6,897
72,8.5,4.9,811
74,8.5,4.8,897
73,8.5,4.6,882
77,12.2,3.9,893
75,12.2,3.6,852
73,8.5,2.6,853
71,8.5,3.9,778
74,11.8,3.3,677
70,8.5,3.7,668
77,11.7,2.3,163
71,8.5,4.3,251
67,8.5,2.0,345
72,10.9,0.9,82
69,8.5,1.9,118
73,10.9,1.7,20
67,8.5,2.2,27
66,8.5,1.4,0
70,10.7,0.7,2
70,10.8,0.8,2
68,8.5,1.3,0
67,8.5,1.3,0
72,11.2,1.2,2
64,11.2,0.0,2
65,8.5,1.9,0
62,11.0,0.4,2
64,8.5,2.4,0
66,11.6,2.0,2
67,8.5,2.2,0
69,11.5,2.2,2
71,8.5,3.0,0
74,11.5,1.4,2
70,8.5,1.9,0
72,11.4,2.4,4
73,8.5,1.5,2
70,8.5,0.9,25
71,11.1,1.0,23
72,11.5,1.1,47
73,8.5,1.2,27
69,8.5,2.1,76
76,11.9,2.8,52
86,8.5,1.5,45
86,12.5,2.8,58
87,8.5,0.7,200
89,12.7,1.2,104
86,8.5,2.1,279
92,13.1,1.3,238
82,8.5,1.7,222
89,13.2,1.1,183
89,13.0,1.1,376
82,8.5,1.9,434
87,13.0,1.3,266
78,8.5,0.3,470
76,8.5,0.8,422
87,13.3,1.1,272
85,13.2,1.4,162
77,8.5,1.4,235
81,14.0,1.4,294
75,8.5,0.8,350
85,13.5,1.0,202
76,8.5,1.1,183
85,13.9,1.2,64
77,8.5,0.3,60
83,14.0,1.0,16
80,8.5,1.7,18
81,8.5,2.1,0
78,14.9,0.7,1
78,15.2,0.5,1
84,8.5,2.3,1
78,16.3,0.6,0
83,8.5,1.2,0
83,16.6,0.0,0
82,8.5,1.0,0
83,8.5,1.5,0
83,17.5,0.0,0
92,16.2,0.0,1
84,8.5,0.9,0
84,8.5,1.1,1
86,19.1,0.4,0
88,8.5,2.6,0
89,19.6,0.7,0
90,8.5,2.8,1
90,20.6,1.9,1
92,8.5,3.0,31
94,20.9,1.6,21
94,21.5,1.7,57
93,8.5,0.4,64
92,21.9,1.4,14
91,8.5,2.3,14
89,21.9,2.1,253
89,8.5,4.8,368
79,8.5,2.1,301
80,22.8,1.0,330
72,22.5,1.6,326
71,8.5,3.4,424
67,8.5,3.1,686
70,22.9,1.5,359
58,8.5,3.6,478
60,21.9,1.6,426
58,21.2,1.4,328
55,8.5,3.9,378
50,19.6,0.9,342
47,8.5,1.6,381
51,8.5,2.5,250
50,18.9,1.1,216
54,19.1,1.1,141
48,8.5,4.0,155
88,16.3,4.8,58
87,8.5,3.7,86
84,8.5,3.9,22
84,14.6,2.0,22
79,8.5,6.3,1
81,13.8,2.5,1
80,8.5,6.5,0
81,12.9,3.2,2
78,8.5,4.2,0
82,12.5,2.9,4
78,8.5,5.6,0
82,12.1,2.7,2
77,8.5,5.4,0
80,11.4,1.6,2
79,11.2,3.6,3
77,8.5,5.4,0
80,8.5,3.8,0
83,11.3,4.1,3
80,8.5,5.3,0
85,11.5,3.8,3
83,8.5,2.8,4
85,11.5,3.6,6
85,11.4,3.7,85
82,8.5,2.7,70
83,8.5,3.2,231
85,11.6,3.6,297
